BEN (T4.7);;;? Stocktaking Survey Data ?;;;;;;;;;;;
nr in Portal;Short name;Organizations (Legal Name);Has response ?;Provide wallets for UCs?;Kind of wallet;Deployment model;Wallet links;Offline channels;Standards supported;Encoding formats;Selective disclosure;Other input (wallet);Other input (participation);Previous LSP experience
4;ARICOMA;ARICOMA DIGITAL S.R.O. (ARICOMA);TRUE;Yes;"Wallets that can be used by natural persons ;";"Mobile wallet ;";On demand;"BLE;QR Code;NFC;";" ISO/IEC 18013-5:2021 ;";"JSON;CBOR;";"JWT (including SD-JWT) ;";;;Yes, POTENTIAL (and APTITUDE) - wallet provider, technological consultant
18;Cleverbase;Cleverbase ID B.V;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;Server wallet on cloud ;";https://vidua.nl/en/user/;"QR Code;";" ISO/IEC 18013-5:2021 ; W3C Verifiable Credentials 1.1;";"JSON;CBOR;";"JWT (including SD-JWT) ;";The WP is also a QTSP. Extra attention for QES, eDelivery, other trust services. Integrated with a remote WSCD.;QTSP group lead, so can help ensure good connections.;Active participant in POTENTIAL
23;DIGG;Swedish Agency for Digital Government;TRUE;Yes;"Wallets that can be used by natural persons ;";"Server wallet on cloud ;";In previous LSPs we have used https://wallet.sandbox.digg.se/ but that is likely to change once we get our official gov wallet ready for testing. The wallet we have used in EWC and DC4EU piloting has been the reference implementation. ;"QR Code;";" ISO/IEC 18013-5:2021 ; ";"JSON;";"JWT (including SD-JWT) ;";Our wallet will likely not be available for use before april/may 2026 at the earliest. We will do our best to conform to the WBCS provided and will offer our wallet for use in all use cases that require that functionality (there will be a list of which wallet conforms to which spec). As a wallet provider it feels wrong to target specific usecases.;We will be more active in the coming months than we have been this far, since we are changing strategic priority within the national SE wallet project. ;BEN wallet provider and PID issuer in DC4EU and EWC. Mostly using the reference implementation. Also in EWC Management board since Peter Altmann from Digg was tech lead there. 
24;Digidentity;DIGIDENTITY BV;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;";;"QR Code;";" W3C Verifiable Credentials 1.1; ISO/IEC 18013-5:2021 ;";"CBOR;JSON;";"JWT (including SD-JWT) ;";Digidentity can act both as an issuer and wallet and offers full integration with existing Digidentity functionalities, such as remote identity verification and digital signing.;We can act as issuer, wallet provider and QTSP for LP and NP.;We participated in EWC as a issuer and wallet for NP.
35;GUNET;AKADIMAIKO DIADIKTYO;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;Server wallet that can be installed on premise ;Multi-device edge wallet (white label);Server wallet on cloud ;";https://github.com/wwWallet;"BLE;QR Code;";" ISO/IEC 18013-5:2021 ;";"JSON;CBOR;";"JWT (including SD-JWT) ;";wwWallet is an innovative approach to digital identity wallets, combining the benefits of edge wallets, installed on personal devices, and web/cloud wallets accessible through web browsers. wwWallet has demonstrated interoperability with the EUDI RI Wallet and was selected as one of the four finalists in the SPRIN-D EUDI Wallet Prototype competition. It incorporates unique features such as multi-device support, support for zero-knowledge proofs (ZKPs), and native integration with WebAuthn/CTAP and roaming WSCDs.;As we are also participating in T4.1, we can coordinate the alignment of wallet providers with the Architecture Blueprint and the relevant specifications.;DC4EU Wallet Provider (wwWallet), Architecture WPL.
36;Hopae;HOPAE FRANCE;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;";https://www.hopae.com/products/hdcx;"NFC;BLE;QR Code;";" ISO/IEC 18013-5:2021 ; W3C Verifiable Credentials 1.1;";"JSON;CBOR;";"JWT (including SD-JWT) ;";While we are currently positioned in the Wallet Providers Group, we are developing Intermediary Services that bridge between wallets and relying parties. We already have a working intermediary solution not only for EU but for global as well, which can be tested and used for possible LSP needs.;Given our focus on intermediary services, we propose to transition our participation from the Wallet Providers Group to the RP Group, where we can better contribute as an Intermediary Service Provider. We can support: Intermediary Standards Development: Lead the creation of intermediary protocol specifications Use Case Implementation: Provide intermediary services for financial account opening, KYC, and cross-border identity verification Documentation: Contribute to technical specifications and implementation guidelines;No
52;iGrant.io;LCUBED AB;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;Server wallet on cloud ;Server wallet that can be installed on premise ;";"Business wallets: https://docs.igrant.io/docs/organisation-wallet-overview/
Natural Person Wallet: https://docs.igrant.io/docs/data-wallet-overview/
Developer APIs: https://docs.igrant.io/docs/developer-apis";"BLE;QR Code;";" W3C Verifiable Credentials 1.1; ISO/IEC 18013-5:2021 ;";"JSON;CBOR;";"JWT (including SD-JWT) ;";Ability to take and record consents as per GDPR, is a unique feature of our wallets (c.f. IEEE paper: https://www.igrant.io/articles/transforming-personal-data-transactions-with-auditable-privacy-preserving-data-exchange-agreements);TBD;EWC: led the ecosystem task, defined the RFC process towards ITB, authored/ co-authored multiple RFCs, provided open source components, formulated the Business Wallet requirements as well as implemented and demonstrated them across multiple use cases, made our NP wallet available for all LSP use cases.
43;INFOCAMERE;INFOCAMERE - SOCIETA CONSORTILE DIINFORMATICA DELLE CAMERE DI COMMERCIO ITALIANE PER AZIONI;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;";https://drive.google.com/drive/u/0/folders/1xwWGgrjEYyOP9laOfaV3Xbi0r9pO19Ft;"QR Code;";" ISO/IEC 18013-5:2021 ;";"JSON;";"JWT (including SD-JWT) ;";In the context of the EWC initiative, we have actively explored and prototyped a wallet-based solution supporting both PID and LPID credentials. A demo of our implementation is available at the following link: https://drive.google.com/drive/u/0/folders/1xwWGgrjEYyOP9laOfaV3Xbi0r9pO19Ft. Our strategic focus is particularly oriented towards business use cases, and we are currently awaiting the release of the final technical specifications for the European Business Wallet (EBW), which will be key to aligning our solution accordingly.;;Yes, we have participated in the EWC Consortium as part of previous LSP activities. In addition to contributing to the Business Registers working group, we have also implemented and tested the solution described in point 26 of this questionnaire
60;MD e-Gov.Agency;Agentia de Guvernare Electronica;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;";will provide later;"QR Code;";" ISO/IEC 18013-5:2021 ;";"CBOR;";"JWT (including SD-JWT) ;";We develop and operate Moldovan national interoperability platform and authorization service MPower;We could cover the documentation and support parts;No
61;GRNET S.A.;NATIONAL INFRASTRUCTURES FOR RESEARCH AND TECHNOLOGY;TRUE;Yes;"Wallets that can be used by natural persons ;";"Mobile wallet ;";;"Not decided;";" W3C Verifiable Credentials 1.1; ISO/IEC 18013-5:2021 ;";"CBOR;JSON;";"JWT (including SD-JWT) ;"; ;;
